trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.5, 'e': 0.11080315836233391}",20,0,-60.04168132374292,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.10539922456186436}",35,9,32.079352050644175,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.10025884372280376}",25,0,7.8695151776132395,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.09536916221554964}",20,9,20.425768790994322,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.09071795328941253}",30,0,-45.46696611182967,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.08629358649937054}",25,0,-15.547281879808615,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.08208499862389881}",20,0,3.151670857635044,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.07808166600115317}",20,0,-20.4365032351001,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.07427357821433389}",30,0,42.298838734113,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.0706512130604296}",25,15,22.77484648611115,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.06720551273974977}",25,13,18.131311586329172,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.06392786120670758}",20,5,24.340181045677436,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.06081006262521798}",20,3,-19.90146750715422,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.05784432087483848}",20,0,23.484083321490555,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.055023220056407245}",20,0,23.319694530531045,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.05233970594843241}",20,10,1.1223119374811774,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.04978706836786396}",30,18,26.071858645851055,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,2,-16.632300260707893,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,20.961032679312922,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-46.873324366155636,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,4,25.872461497285354,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,17,-20.531458974301405,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,4,-12.531231963860307,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,6,13.08420440024474,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,13.296379355908332,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-10.495185124036396,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,15,-4.320095061272101,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
